power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
30,287.32,0.06,326.86,7.11,5.8,4.51,2.53,2.88,336.39,334.53,320.31,320.54,1014.65,4.29,-4.79,24.06,0.91,-83.72,863.79,0,0,0,285.29,54.18
30,287.01,0.06,330.65,7.23,5.93,4.6,2.54,2.89,340.58,338.47,324.41,324.58,1014.83,3.89,-4.62,24.28,0.91,-83.17,863.86,0,0,0,284.98,55.28
29,286.7,0.06,334.22,7.36,6.06,4.68,2.55,2.9,344.61,342.17,328.31,328.43,1014.94,3.58,-4.59,24.5,0.91,-82.83,863.89,0,0,0,284.7,56.22
32,286.4,0.06,337.56,7.49,6.2,4.77,2.57,2.93,348.46,345.64,332.02,332.08,1014.99,3.35,-4.69,24.71,0.92,-82.69,863.88,0,0,0,284.47,57
35,286.09,0.07,340.92,7.62,6.33,4.86,2.6,2.96,352.32,349.11,335.73,335.73,1015.04,3.13,-4.78,24.92,0.93,-82.55,863.86,0,0,0,284.24,57.79
41,285.79,0.07,344.26,7.75,6.47,4.95,2.62,2.99,356.17,352.58,339.44,339.38,1015.09,2.9,-4.88,25.13,0.94,-82.41,863.85,0,0,0,284.01,58.57
41,285.5,0.07,358.41,7.82,6.54,4.97,2.62,2.99,9.34,5.62,343.39,343.27,1015.16,2.86,-4.87,24.89,0.94,-82.3,863.85,0,0,0,283.76,59.33
40,285.2,0.07,354.85,7.8,6.54,4.92,2.6,2.97,6.13,2.39,347.58,347.41,1015.26,3,-4.75,24.19,0.95,-82.23,863.86,0,0,0,283.51,60.08
36,284.92,0.06,351.28,7.79,6.54,4.87,2.59,2.94,2.92,359.17,351.77,351.54,1015.36,3.14,-4.64,23.5,0.95,-82.16,863.87,0,0,0,283.25,60.83
33,284.62,0.06,347.72,7.79,6.54,4.82,2.57,2.92,359.71,355.94,355.96,355.68,1015.46,3.28,-4.52,22.8,0.96,-82.09,863.88,0,0,0,283,61.58
